id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,N_tokens,log_N_tokens,N_sentences,log_N_sentences,n_nodes,n_edges,network_density,average_clustering,modularity,average_shortest_path_largest_component
PG10082,The Hampstead Mystery,"Watson, John R. (John Reay)",1872.0,,['en'],68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,128248.0,11.76172116836951,5582.0,8.627302414096267,34.0,74.0,0.1319073083778966,0.05041172132289944,0.3821110662200733,2.4688057040998217
PG10084,Kazan,"Curwood, James Oliver",1878.0,1927.0,['en'],113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76987.0,11.251391855413404,4200.0,8.34283980427146,14.0,18.0,0.1978021978021978,0.035253466612364295,0.09446022727272732,2.340659340659341
PG10086,The Minute Boys of the Mohawk Valley,"Otis, James",1848.0,1912.0,['en'],54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98545.0,11.498268575626595,2402.0,7.784057002639929,7.0,8.0,0.38095238095238093,0.09448815785524999,0.34319526627218944,1.8095238095238095
PG10094,A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat,"Stevenson, Burton Egbert",1872.0,1962.0,['en'],50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97067.0,11.483156740696597,4078.0,8.3133619511344,34.0,42.0,0.0748663101604278,0.02998560995382535,0.5459183673469388,3.4171122994652405
PG10095,"The Twilight of the Gods, and Other Tales","Garnett, Richard",1835.0,1906.0,['en'],164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97803.0,11.49071053039907,3949.0,8.28121766128665,7.0,6.0,0.2857142857142857,0.0,0.395,2.0952380952380953
PG10109,The Unspeakable Gentleman,"Marquand, John P. (John Phillips)",1893.0,1960.0,['en'],39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63628.0,11.06080890401825,4039.0,8.303752415563412,11.0,12.0,0.21818181818181817,0.0,0.3252551020408163,2.581818181818182
PG10110,The Postmaster's Daughter,"Tracy, Louis",1863.0,1928.0,['en'],103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83948.0,11.337952838517312,4922.0,8.501470230951002,35.0,78.0,0.13109243697478992,0.050719516239666855,0.23665123456790124,2.3411764705882354
PG10123,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65535.0,11.090339630053647,3234.0,8.081475040137052,32.0,64.0,0.12903225806451613,0.06313387062667541,0.2636169455322179,2.3931451612903225
PG10132,The Sowers,"Merriman, Henry Seton",1862.0,1903.0,['en'],162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131080.0,11.783563102812751,7794.0,8.961109485898655,34.0,62.0,0.11051693404634581,0.0350042387114748,0.14878892733564014,2.481283422459893
PG10134,"John Wesley, Jr.: The Story of an Experiment","Brummitt, Dan B. (Dan Brearley)",1867.0,1939.0,['en'],61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86822.0,11.371615324755037,3726.0,8.223090551161533,33.0,39.0,0.07386363636363637,0.024330050453462416,0.3358585858585859,2.585227272727273
