imdb_id_final,title,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,url,n_nodes,network_density,average_clustering,modularity,average_shortest_path_largest_component,genre_drama,genre_thriller,genre_comedy,genre_action,genre_crime,genre_romance,genre_adventure,genre_scifi,genre_horror,genre_mystery,genre_fantasy,genre_family,genre_animation,genre_war,genre_musical,genre_western
tt0114388,Sense and Sensibility,Sense and Sensibility,0.0,1995.0,136.0,"['Drama', 'Comedy', 'Romance']",7.7,https://imsdb.com/Movie Scripts/Sense and Sensibility Script.html,32.0,0.10080645161290322,0.03767041585553402,0.26707230623818523,2.5766129032258065,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0379786,Serenity,Serenity,0.0,2005.0,119.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",7.8,https://imsdb.com/Movie Scripts/Serenity Script.html,37.0,0.06006006006006006,0.016308679393902566,0.48182397959183676,3.1936936936936937,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
tt0111127,Serial Mom,Serial Mom,0.0,1994.0,95.0,"['Comedy', 'Crime', 'Horror']",6.8,https://imsdb.com/Movie Scripts/Serial Mom Script.html,26.0,0.09230769230769231,0.07305252900690568,0.4224691358024691,2.5323076923076924,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
tt1866249,"Sessions, The",The Sessions,0.0,2012.0,95.0,"['Drama', 'Romance']",7.2,"https://imsdb.com/Movie Scripts/Sessions, The Script.html",7.0,0.38095238095238093,0.10839903786706788,0.07988165680473377,1.619047619047619,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0050976,"Seventh Seal, The",The Seventh Seal,0.0,1957.0,96.0,"['Drama', 'Fantasy', 'Read ""Seventh Seal, The"" Script']",8.1,"https://imsdb.com/Movie Scripts/Seventh Seal, The Script.html",22.0,0.11255411255411256,0.030889401486898397,0.5339083878643665,2.727272727272727,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt1000774,Sex and the City,Sex and the City,0.0,2008.0,145.0,"['Comedy', 'Drama', 'Romance']",5.7,https://imsdb.com/Movie Scripts/Sex and the City Script.html,25.0,0.09666666666666666,0.03648087589055036,0.2615384615384615,2.3366666666666664,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0098724,"Sex, Lies and Videotape","Sex, Lies, and Videotape",0.0,1989.0,100.0,"['Drama', 'Read ""Sex, Lies and Videotape"" Script']",7.2,"https://imsdb.com/Movie Scripts/Sex, Lies and Videotape Script.html",3.0,0.6666666666666666,0.0,0.0,1.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0138097,Shakespeare in Love,Shakespeare in Love,0.0,1998.0,123.0,"['Drama', 'Romance', 'Comedy', 'Read ""Shakespeare in Love"" Script']",7.1,https://imsdb.com/Movie Scripts/Shakespeare in Love Script.html,22.0,0.12987012987012986,0.03200802271813725,0.15827578525284022,2.316017316017316,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0111149,Shallow Grave,Shallow Grave,0.0,1994.0,89.0,"['Comedy', 'Crime', 'Drama', 'Thriller']",7.2,https://imsdb.com/Movie Scripts/Shallow Grave Script.html,15.0,0.17142857142857143,0.11043190166239975,0.2645659928656362,2.1619047619047618,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1723811,Shame,Shame,0.0,2011.0,101.0,['Drama'],7.2,https://imsdb.com/Movie Scripts/Shame Script.html,11.0,0.18181818181818182,0.0,1.1102230246251565e-16,1.8181818181818181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073692,Shampoo,Shampoo,0.0,1975.0,110.0,"['Drama', 'Read ""Shampoo"" Script']",6.4,https://imsdb.com/Movie Scripts/Shampoo Script.html,19.0,0.1286549707602339,0.03814476967455922,0.030612244897959145,2.304093567251462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0111161,"Shawshank Redemption, The",The Shawshank Redemption,0.0,1994.0,142.0,"['Drama', 'Read ""Shawshank Redemption, The"" Script']",9.3,"https://imsdb.com/Movie Scripts/Shawshank Redemption, The Script.html",12.0,0.19696969696969696,0.07797229828984305,0.20321361058601134,2.0606060606060606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0815236,She's Out of My League,She's Out of My League,0.0,2010.0,104.0,"['Comedy', 'Romance']",6.4,https://imsdb.com/Movie Scripts/She's Out of My League Script.html,29.0,0.07635467980295567,0.0051895638224130234,0.32576845733984494,2.7881773399014778,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0988045,Sherlock Holmes,Sherlock Holmes,0.0,2009.0,128.0,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",7.5,https://imsdb.com/Movie Scripts/Sherlock Holmes Script.html,25.0,0.10333333333333333,0.03197862851686505,0.0378571428571428,2.1966666666666668,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
tt1104126,Shifty,Shifty,0.0,2008.0,85.0,['Thriller'],6.5,https://imsdb.com/Movie Scripts/Shifty Script.html,13.0,0.1794871794871795,0.09544350001815244,0.24435196195005954,2.6666666666666665,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0081505,"Shining, The",The Shining,0.0,1980.0,146.0,"['Horror', 'Thriller', 'Read ""Shining, The"" Script']",8.4,"https://imsdb.com/Movie Scripts/Shining, The Script.html",8.0,0.42857142857142855,0.26493705892371705,0.0681449432125473,1.7142857142857142,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0120824,"Shipping News, The",The Shipping News,0.0,2001.0,111.0,"['Drama', 'Romance']",6.7,"https://imsdb.com/Movie Scripts/Shipping News, The Script.html",18.0,0.1111111111111111,0.0,0.2592152199762188,2.5359477124183005,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0073705,Shivers,Shivers,0.0,1975.0,87.0,"['Horror', 'Sci-Fi']",6.3,https://imsdb.com/Movie Scripts/Shivers Script.html,19.0,0.13450292397660818,0.04133528064948186,0.35396975425330807,2.8596491228070176,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
tt0126029,Shrek,Shrek,0.0,2001.0,90.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",7.9,https://imsdb.com/Movie Scripts/Shrek Script.html,9.0,0.3055555555555556,0.12758875662599378,0.06508264462809919,1.8888888888888888,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0
tt0413267,Shrek the Third,Shrek the Third,0.0,2007.0,93.0,"['Animation', 'Adventure', 'Comedy']",6.1,https://imsdb.com/Movie Scripts/Shrek the Third Script.html,42.0,0.06968641114982578,0.040099816237254074,0.3038736979166667,2.681765389082462,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
tt3397884,Sicario,Sicario,0.0,2015.0,121.0,"['Action', 'Crime', 'Drama']",7.7,https://imsdb.com/Movie Scripts/Sicario Script.html,22.0,0.09956709956709957,0.02889307995438144,0.39351576442593694,2.83982683982684,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tt0375063,Sideways,Sideways,0.0,2004.0,127.0,"['Adventure', 'Comedy', 'Drama']",7.5,https://imsdb.com/Movie Scripts/Sideways Script.html,12.0,0.21212121212121213,0.05682517058134331,0.05346938775510203,2.106060606060606,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
tt0133952,"Siege, The",The Siege,0.0,1998.0,116.0,"['Action', 'Thriller', 'Drama']",6.4,"https://imsdb.com/Movie Scripts/Siege, The Script.html",18.0,0.13071895424836602,0.009755291005291005,0.36266349583828783,2.8823529411764706,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0286106,Signs,Signs,0.0,2002.0,106.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller', 'Read ""Signs"" Script']",6.8,https://imsdb.com/Movie Scripts/Signs Script.html,14.0,0.18681318681318682,0.0684982839504575,0.08579881656804728,2.043956043956044,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
tt0102926,Silence of the Lambs,The Silence of the Lambs,0.0,1991.0,118.0,"['Crime', 'Drama', 'Horror', 'Thriller', 'Read ""Silence of the Lambs"" Script']",8.6,https://imsdb.com/Movie Scripts/Silence of the Lambs Script.html,18.0,0.11764705882352941,0.0,0.3468934911242604,2.738562091503268,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
